sep=,
File............:  30cycle - JAN;12.2023
System..........:  
Temperature.....:  -0.0+-0.0C
Time............:  11:20:46-12:41:18
Slewrate........:  10mV/s
Comment.........:  
                   
                   
                   
                   
Electr.area/sqcm:  
Reference.......:   0.5498549;  1.2776189 PO/PF  0; 3444
Cyclic voltammogram
Lines:   15100
Columns: 8
Number,Time/s,Potential/V,Current/A,TC:K;V=201/C,TC:K;V=201/C,NTC/C,pos_x_fi/m,pos_x_la/m
1,0.000e+00,0.000145,-1.035e-05,9.015e+00,8.577e+00,3.855e+01,9.853e-02,4.140e-02
2,3.200e-01,0.000145,-9.359e-06,9.028e+00,8.590e+00,3.855e+01,9.853e-02,4.140e-02
3,6.400e-01,0.000145,-8.610e-06,9.026e+00,8.589e+00,3.855e+01,9.853e-02,4.140e-02
4,9.600e-01,0.001422,-6.878e-06,9.025e+00,8.588e+00,3.855e+01,9.853e-02,4.140e-02
5,1.280e+00,0.004616,-5.918e-06,9.027e+00,8.588e+00,3.855e+01,9.853e-02,4.140e-02
6,1.600e+00,0.007810,-5.340e-06,9.025e+00,8.586e+00,3.854e+01,9.853e-02,4.140e-02
7,1.920e+00,0.011005,-4.885e-06,9.025e+00,8.587e+00,3.854e+01,9.853e-02,4.140e-02
8,2.240e+00,0.014199,-4.492e-06,9.025e+00,8.587e+00,3.854e+01,9.853e-02,4.140e-02
9,2.560e+00,0.017393,-4.156e-06,9.026e+00,8.588e+00,3.855e+01,9.853e-02,4.140e-02
10,2.880e+00,0.020587,-3.859e-06,9.027e+00,8.589e+00,3.855e+01,9.853e-02,4.140e-02
11,3.200e+00,0.023781,-3.597e-06,9.028e+00,8.590e+00,3.855e+01,9.853e-02,4.140e-02
12,3.520e+00,0.026975,-3.356e-06,9.026e+00,8.587e+00,3.855e+01,9.853e-02,4.140e-02
13,3.840e+00,0.030169,-3.129e-06,9.027e+00,8.589e+00,3.856e+01,9.853e-02,4.140e-02
14,4.160e+00,0.033363,-2.925e-06,9.028e+00,8.590e+00,3.856e+01,9.853e-02,4.140e-02
15,4.480e+00,0.036557,-2.734e-06,9.025e+00,8.588e+00,3.856e+01,9.853e-02,4.140e-02
16,4.800e+00,0.039751,-2.566e-06,9.027e+00,8.589e+00,3.855e+01,9.853e-02,4.140e-02
17,5.120e+00,0.042945,-2.405e-06,9.025e+00,8.588e+00,3.856e+01,9.853e-02,4.140e-02
18,5.440e+00,0.046139,-2.249e-06,9.028e+00,8.590e+00,3.856e+01,9.853e-02,4.140e-02
19,5.760e+00,0.049333,-2.096e-06,9.026e+00,8.588e+00,3.856e+01,9.853e-02,4.140e-02
20,6.080e+00,0.052527,-1.975e-06,9.027e+00,8.589e+00,3.856e+01,9.853e-02,4.140e-02
21,6.400e+00,0.055721,-1.836e-06,9.027e+00,8.590e+00,3.857e+01,9.853e-02,4.140e-02
22,6.720e+00,0.058915,-1.713e-06,9.027e+00,8.589e+00,3.857e+01,9.853e-02,4.140e-02
23,7.040e+00,0.062269,-1.600e-06,9.027e+00,8.589e+00,3.857e+01,9.853e-02,4.140e-02
24,7.360e+00,0.065463,-1.476e-06,9.030e+00,8.592e+00,3.857e+01,9.853e-02,4.140e-02
25,7.680e+00,0.068657,-1.380e-06,9.031e+00,8.591e+00,3.857e+01,9.853e-02,4.140e-02
26,8.000e+00,0.071851,-1.286e-06,9.027e+00,8.589e+00,3.857e+01,9.853e-02,4.140e-02
27,8.320e+00,0.075045,-1.192e-06,9.027e+00,8.590e+00,3.857e+01,9.853e-02,4.140e-02
28,8.640e+00,0.078239,-1.093e-06,9.027e+00,8.589e+00,3.857e+01,9.853e-02,4.140e-02
29,8.960e+00,0.081433,-1.005e-06,9.028e+00,8.589e+00,3.858e+01,9.853e-02,4.140e-02
30,9.280e+00,0.084627,-9.129e-07,9.030e+00,8.591e+00,3.858e+01,9.853e-02,4.140e-02
31,9.600e+00,0.087821,-8.215e-07,9.027e+00,8.589e+00,3.858e+01,9.853e-02,4.140e-02
32,9.920e+00,0.091015,-7.368e-07,9.031e+00,8.593e+00,3.858e+01,9.853e-02,4.140e-02
33,1.024e+01,0.094209,-6.534e-07,9.028e+00,8.590e+00,3.858e+01,9.853e-02,4.140e-02
34,1.056e+01,0.097403,-5.766e-07,9.031e+00,8.592e+00,3.858e+01,9.853e-02,4.140e-02
35,1.088e+01,0.100598,-5.053e-07,9.029e+00,8.591e+00,3.858e+01,9.853e-02,4.140e-02
36,1.120e+01,0.103792,-4.255e-07,9.028e+00,8.590e+00,3.858e+01,9.853e-02,4.140e-02
37,1.152e+01,0.106986,-3.515e-07,9.030e+00,8.592e+00,3.858e+01,9.853e-02,4.140e-02
38,1.184e+01,0.110180,-2.686e-07,9.030e+00,8.591e+00,3.858e+01,9.853e-02,4.140e-02
